Country,GHG_Emissions
France and Monaco                                           ,6.99171923
Faroes                                                      ,1.02672751
Gabon                                                       ,8.95788964
United Kingdom                                              ,6.96953775
Georgia                                                     ,4.32473785
Ghana                                                       ,1.47466766
Gibraltar                                                   ,20.6842533
Guinea                                                      ,2.00100696
Guadeloupe                                                  ,2.66739685
Gambia                                                      ,0.97092207
Guinea-Bissau                                               ,1.57762308
Equatorial Guinea                                           ,10.9570203
Greece                                                      ,7.82604102
Grenada                                                     ,1.83146862
Greenland                                                   ,10.333222
Guatemala                                                   ,2.40767005
French Guiana                                               ,1.95381074
Guyana                                                      ,7.7481889
Hong Kong                                                   ,6.796463
Honduras                                                    ,2.26703025
Croatia                                                     ,6.06012462
Haiti                                                       ,1.32936899
Hungary                                                     ,7.38232082
Indonesia                                                   ,4.15916432
India                                                       ,2.77287998
Ireland                                                     ,13.2434631
Iran (Islamic Republic of)                                  ,11.5938077
Iraq                                                        ,8.82877597
Iceland                                                     ,13.4308855
"Israel and Palestine, State of                              ",6.24969442
"Italy, San Marino and the Holy See                          ",7.04275645
Jamaica                                                     ,3.56288963
Jordan                                                      ,3.50969898
Japan                                                       ,9.95393652
